step,dense_attention,b7a1_native_sdm,b7a1_residualized_sdm,b8_native_sdm,b8_residualized_sdm
152,9.28055191040039,9.145926475524902,8.925189018249512,9.146944046020508,8.937131881713867
153,9.2852783203125,9.148723602294922,8.94477367401123,9.148775100708008,8.957462310791016
154,9.243778228759766,9.150177001953125,8.938647270202637,9.1486234664917,8.947338104248047
155,9.264204978942871,9.153884887695312,8.993446350097656,9.150686264038086,9.00238037109375
156,9.221424102783203,9.101470947265625,8.91170883178711,9.096029281616211,8.913762092590332
157,9.1678466796875,9.053443908691406,8.844873428344727,9.051694869995117,8.84764575958252
158,9.185474395751953,9.062115669250488,8.860445022583008,9.067870140075684,8.874317169189453
159,9.134998321533203,9.028756141662598,8.845083236694336,9.027158737182617,8.858635902404785
160,9.099116325378418,8.998981475830078,8.7991304397583,8.999736785888672,8.811830520629883
161,9.04692268371582,8.928915023803711,8.694926261901855,8.92567253112793,8.698729515075684
162,9.116741180419922,9.03325080871582,8.839910507202148,9.031377792358398,8.84778881072998
163,9.080123901367188,8.983030319213867,8.811278343200684,8.98066520690918,8.818530082702637
164,9.08915901184082,8.998788833618164,8.824722290039062,8.998193740844727,8.82933235168457
165,9.057228088378906,8.94691276550293,8.781890869140625,8.946369171142578,8.784825325012207
166,9.070188522338867,8.96750259399414,8.826651573181152,8.968364715576172,8.829334259033203
167,9.110099792480469,9.025832176208496,8.88546085357666,9.023103713989258,8.893974304199219
168,9.02395248413086,8.921772003173828,8.759469985961914,8.924294471740723,8.769762992858887
169,8.978525161743164,8.876630783081055,8.728224754333496,8.869085311889648,8.736467361450195
170,8.955570220947266,8.873174667358398,8.735491752624512,8.87142562866211,8.74114990234375
171,8.988784790039062,8.897789001464844,8.775259017944336,8.894113540649414,8.780779838562012
172,8.927719116210938,8.826811790466309,8.684267044067383,8.831923484802246,8.692535400390625
173,8.97622299194336,8.889434814453125,8.76410961151123,8.885318756103516,8.772226333618164
174,8.88546371459961,8.768192291259766,8.634787559509277,8.764322280883789,8.638318061828613
175,8.885225296020508,8.794977188110352,8.649320602416992,8.787152290344238,8.650861740112305
176,8.879490852355957,8.779497146606445,8.654529571533203,8.779327392578125,8.661327362060547
177,8.824909210205078,8.742194175720215,8.599231719970703,8.739106178283691,8.601344108581543
178,8.846609115600586,8.764710426330566,8.611492156982422,8.766508102416992,8.621273040771484
179,8.84698486328125,8.767507553100586,8.646682739257812,8.767239570617676,8.651084899902344
180,8.869415283203125,8.792096138000488,8.674921035766602,8.792999267578125,8.686168670654297
181,8.856749534606934,8.76315975189209,8.637463569641113,8.767641067504883,8.647661209106445
182,8.772940635681152,8.715583801269531,8.588332176208496,8.718177795410156,8.599239349365234
183,8.700495719909668,8.628565788269043,8.500386238098145,8.634635925292969,8.510137557983398
184,8.765026092529297,8.70677375793457,8.60035228729248,8.711393356323242,8.608362197875977
185,8.794244766235352,8.729886054992676,8.63900375366211,8.729106903076172,8.645406723022461
186,8.648087501525879,8.575481414794922,8.468375205993652,8.572083473205566,8.467142105102539
187,8.641324043273926,8.551477432250977,8.444076538085938,8.555595397949219,8.451993942260742
188,8.725091934204102,8.657755851745605,8.557872772216797,8.656618118286133,8.56871223449707
189,8.743613243103027,8.670690536499023,8.572516441345215,8.674901962280273,8.577653884887695
190,8.711623191833496,8.654439926147461,8.569941520690918,8.650677680969238,8.575252532958984
191,8.656742095947266,8.590840339660645,8.493783950805664,8.58881664276123,8.492469787597656
192,8.556148529052734,8.486120223999023,8.397176742553711,8.485244750976562,8.404139518737793
193,8.584595680236816,8.507369995117188,8.42494010925293,8.501006126403809,8.425521850585938
194,8.588701248168945,8.557421684265137,8.456178665161133,8.545316696166992,8.4502592086792
195,8.515121459960938,8.472105026245117,8.369516372680664,8.46623420715332,8.370386123657227
196,8.480559349060059,8.412654876708984,8.30340576171875,8.413859367370605,8.315412521362305
197,8.553316116333008,8.497589111328125,8.414237022399902,8.490251541137695,8.418376922607422
198,8.60113525390625,8.550834655761719,8.472892761230469,8.550130844116211,8.485276222229004
199,8.67397689819336,8.618925094604492,8.517542839050293,8.613992691040039,8.51833724975586
200,8.452386856079102,8.396799087524414,8.316372871398926,8.398441314697266,8.326740264892578
201,8.463558197021484,8.407812118530273,8.324686050415039,8.408797264099121,8.334222793579102
202,8.501325607299805,8.45657730102539,8.36876392364502,8.45766830444336,8.379462242126465
203,8.468873977661133,8.424118041992188,8.336568832397461,8.425705909729004,8.342489242553711
204,8.510149002075195,8.467153549194336,8.386014938354492,8.465615272521973,8.393179893493652
205,8.437409400939941,8.377445220947266,8.294106483459473,8.378467559814453,8.301470756530762
206,8.348207473754883,8.300103187561035,8.22060775756836,8.307008743286133,8.22252082824707
207,8.508438110351562,8.459535598754883,8.3865966796875,8.458745002746582,8.39510440826416
208,8.54500961303711,8.484660148620605,8.41749095916748,8.488524436950684,8.422372817993164
209,8.417642593383789,8.38117790222168,8.289119720458984,8.378673553466797,8.291753768920898
210,8.37133502960205,8.330524444580078,8.255434036254883,8.32650375366211,8.253453254699707
211,8.398319244384766,8.349780082702637,8.281641960144043,8.351031303405762,8.281715393066406
212,8.359092712402344,8.302251815795898,8.223153114318848,8.306973457336426,8.232254028320312
213,8.366951942443848,8.324766159057617,8.245024681091309,8.324718475341797,8.254251480102539
214,8.366125106811523,8.31806468963623,8.21615982055664,8.316070556640625,8.225396156311035
215,8.33001708984375,8.289148330688477,8.226743698120117,8.292285919189453,8.225561141967773
216,8.257013320922852,8.210371017456055,8.130815505981445,8.216878890991211,8.142827033996582
217,8.380681991577148,8.332372665405273,8.277278900146484,8.335565567016602,8.283100128173828
218,8.30427360534668,8.249956130981445,8.17467212677002,8.253968238830566,8.180360794067383
219,8.330912590026855,8.289011001586914,8.229680061340332,8.293752670288086,8.238265991210938
220,8.206369400024414,8.152029037475586,8.079683303833008,8.151009559631348,8.080314636230469
221,8.229419708251953,8.193504333496094,8.134024620056152,8.196284294128418,8.13503646850586
222,8.168710708618164,8.138185501098633,8.065276145935059,8.136947631835938,8.074307441711426
223,8.267874717712402,8.232963562011719,8.157078742980957,8.22745132446289,8.154260635375977
224,8.177728652954102,8.131572723388672,8.061698913574219,8.132831573486328,8.068469047546387
225,8.212981224060059,8.182088851928711,8.11865520477295,8.1845703125,8.120765686035156
226,8.181949615478516,8.153637886047363,8.07384204864502,8.148552894592285,8.071486473083496
227,8.14879035949707,8.109512329101562,8.044366836547852,8.119049072265625,8.050092697143555
228,8.220185279846191,8.183311462402344,8.118815422058105,8.18105411529541,8.122505187988281
229,8.217756271362305,8.207883834838867,8.142535209655762,8.201051712036133,8.144201278686523
230,8.125259399414062,8.093758583068848,8.033424377441406,8.08873462677002,8.03469467163086
231,8.165971755981445,8.107183456420898,8.036230087280273,8.110432624816895,8.040058135986328
232,8.098052024841309,8.06843376159668,8.007598876953125,8.065557479858398,8.004755020141602
233,7.995488166809082,7.950908660888672,7.88494873046875,7.951864242553711,7.883721351623535
234,8.07021427154541,8.03403091430664,7.969479560852051,8.030923843383789,7.963574409484863
235,8.078826904296875,8.030187606811523,7.963111877441406,8.0328950881958,7.9713215827941895
236,8.015201568603516,7.971989631652832,7.910830497741699,7.979506492614746,7.914002418518066
237,8.047998428344727,8.012747764587402,7.954775810241699,8.013261795043945,7.956855773925781
238,7.9976887702941895,7.953441619873047,7.896622180938721,7.9576263427734375,7.900107383728027
239,7.992513179779053,7.96015739440918,7.901001930236816,7.950351715087891,7.889979362487793
240,7.982267379760742,7.95113468170166,7.879087448120117,7.955604076385498,7.8817138671875
241,8.076761245727539,8.035218238830566,7.980384826660156,8.039934158325195,7.98471212387085
242,8.058897018432617,8.01093864440918,7.961052894592285,8.020231246948242,7.965312957763672
243,7.9507246017456055,7.924245357513428,7.861878395080566,7.928104877471924,7.857619762420654
244,7.9395599365234375,7.909945487976074,7.852939605712891,7.9099602699279785,7.849742412567139
245,7.972537040710449,7.940359115600586,7.8778767585754395,7.943769454956055,7.881946563720703
246,7.934754371643066,7.891359329223633,7.797782897949219,7.899177551269531,7.799480438232422
247,7.836614608764648,7.817028045654297,7.73301887512207,7.811939239501953,7.731173515319824
248,7.921590805053711,7.898529052734375,7.846220970153809,7.897333145141602,7.8439836502075195
249,7.851373195648193,7.815213680267334,7.75113582611084,7.815251350402832,7.742035388946533
250,7.859362602233887,7.815032958984375,7.754188537597656,7.818261623382568,7.753026008605957
251,7.870590686798096,7.837615489959717,7.770370006561279,7.846457481384277,7.772791862487793
252,7.810555934906006,7.784748077392578,7.729510307312012,7.792123794555664,7.733216285705566
253,7.866477966308594,7.831801891326904,7.772492408752441,7.834546089172363,7.772861003875732
254,7.715654373168945,7.680482864379883,7.616584300994873,7.682100296020508,7.614218711853027
255,7.89108943939209,7.857054710388184,7.790431022644043,7.866605281829834,7.790907859802246
256,7.7525129318237305,7.715143203735352,7.657289505004883,7.716327667236328,7.647743225097656
257,7.842558860778809,7.806553840637207,7.744858264923096,7.813531875610352,7.740627288818359
258,7.886164665222168,7.860285758972168,7.800638675689697,7.858782768249512,7.799221992492676
259,7.9155120849609375,7.897250175476074,7.840468406677246,7.901217460632324,7.8311614990234375
260,7.715132236480713,7.686163902282715,7.634904861450195,7.690655708312988,7.635899543762207
261,7.789079189300537,7.760140895843506,7.712845802307129,7.7696051597595215,7.708913803100586
262,7.7960968017578125,7.773193836212158,7.713571548461914,7.77954626083374,7.708590984344482
263,7.723875999450684,7.693930625915527,7.635280132293701,7.700108528137207,7.632830619812012
264,7.746557235717773,7.715165138244629,7.653529644012451,7.720637321472168,7.642873764038086
265,7.748029708862305,7.7193498611450195,7.668920040130615,7.726551055908203,7.664033889770508
266,7.764723777770996,7.743256568908691,7.680367946624756,7.745913505554199,7.67641544342041
267,7.631290435791016,7.602261543273926,7.541468143463135,7.603693008422852,7.5296711921691895
268,7.577920436859131,7.546475887298584,7.477335453033447,7.556190013885498,7.476170539855957
269,7.679026126861572,7.655887603759766,7.59025239944458,7.658778667449951,7.584072589874268
270,7.549777984619141,7.526676177978516,7.460265636444092,7.530561447143555,7.4517011642456055
271,7.600726127624512,7.585392951965332,7.518405914306641,7.594166278839111,7.518287658691406
272,7.630394458770752,7.596224308013916,7.5373992919921875,7.604104042053223,7.535922050476074
273,7.586300849914551,7.568514823913574,7.5059919357299805,7.578778266906738,7.510983943939209
274,7.626880168914795,7.5966925621032715,7.535900115966797,7.605311393737793,7.528324127197266
275,7.669549942016602,7.636510848999023,7.5818190574646,7.645954132080078,7.577508926391602
276,7.550426006317139,7.519564151763916,7.466968536376953,7.528042316436768,7.461714267730713
277,7.531639099121094,7.498706817626953,7.447625160217285,7.51047420501709,7.442434310913086
278,7.548995018005371,7.527146339416504,7.467424392700195,7.529245376586914,7.4661359786987305
279,7.640536308288574,7.609560966491699,7.557971000671387,7.61730432510376,7.557631492614746
280,7.530514717102051,7.511169910430908,7.4507737159729,7.520285606384277,7.448049068450928
281,7.524332046508789,7.506253719329834,7.451772689819336,7.511471271514893,7.445207595825195
282,7.602689743041992,7.5799126625061035,7.530219078063965,7.5905351638793945,7.529379367828369
283,7.41882848739624,7.397446155548096,7.332901954650879,7.406512260437012,7.32846736907959
284,7.600390434265137,7.579840660095215,7.518940448760986,7.587670803070068,7.506892204284668
285,7.466767311096191,7.454202651977539,7.373465538024902,7.448912143707275,7.355853080749512
286,7.670907020568848,7.641908168792725,7.57562255859375,7.657580375671387,7.5681657791137695
287,7.596324920654297,7.580719947814941,7.5142927169799805,7.582293510437012,7.507540702819824
288,7.509427070617676,7.486495018005371,7.423496246337891,7.492308616638184,7.416728973388672
289,7.477551460266113,7.464954376220703,7.40947151184082,7.473758697509766,7.398160934448242
290,7.399199485778809,7.38162088394165,7.322442531585693,7.391966819763184,7.318514823913574
291,7.530553817749023,7.519340515136719,7.464249610900879,7.52327299118042,7.450599670410156
292,7.4249796867370605,7.405141830444336,7.3340678215026855,7.41599178314209,7.332320213317871
293,7.4049272537231445,7.398094654083252,7.333622932434082,7.404623985290527,7.323702812194824
294,7.429748058319092,7.4158501625061035,7.35827112197876,7.425459384918213,7.36311149597168
295,7.401601314544678,7.383752346038818,7.32588005065918,7.394781112670898,7.316115856170654
296,7.494215965270996,7.4747819900512695,7.417864799499512,7.476810455322266,7.4065399169921875
297,7.526875972747803,7.503771781921387,7.450993537902832,7.510922431945801,7.451584339141846
298,7.433626651763916,7.421577453613281,7.367547512054443,7.427156925201416,7.362485408782959
299,7.357438087463379,7.338619232177734,7.281396865844727,7.3474507331848145,7.281513214111328
300,7.450111389160156,7.424276828765869,7.365906238555908,7.43671989440918,7.3615312576293945
